DateTime,19090-00060-00003,Code
1984-05-09,"2,070",A
1984-05-10,"2,420",A
1984-05-11,"2,940",A
1984-05-12,"3,680",A
1984-05-13,"4,230",A
1984-05-14,"4,380",A
1984-05-15,"5,420",A
1984-05-16,"5,340",A
1984-05-17,"4,820",A
1984-05-18,"4,600",A
1984-05-19,"4,020",A
1984-05-20,"4,520",A
1984-05-21,"4,940",A
1984-05-22,"5,080",A
1984-05-23,"5,420",A
1984-05-24,"5,540",A
1984-05-25,"5,480",A
1984-05-26,"5,020",A
1984-05-27,"4,580",A
1984-05-28,"4,110",A
1984-05-29,"3,600",A
1984-05-30,"3,440",A
1984-05-31,"3,090",A
1984-06-01,"3,120",A
1984-06-02,"2,940",A
1984-06-03,"2,540",A
1984-06-04,"2,210",A
1984-06-05,"2,220",A
1984-06-06,"2,200",A
1984-06-07,"2,200",A
1984-06-08,"2,060",A
1984-06-09,"1,700",A
1984-06-10,"1,510",A
1984-06-11,"1,450",A
1984-06-12,"1,540",A
1984-06-13,"1,670",A
1984-06-14,"1,880",A
1984-06-15,"1,900",A
1984-06-16,"1,800",A
1984-06-17,"1,620",A
1984-06-18,"1,450",A
1984-06-19,"1,380",A
1984-06-20,"1,380",A
1984-06-21,"1,320",A
1984-06-22,"1,320",A
1984-06-23,"1,210",A
1984-06-24,"1,130",A
1984-06-25,"1,120",A
1984-06-26,"1,300",A
1984-06-27,"1,330",A
1984-06-28,"1,160",A
1984-06-29,"1,040",A
1984-06-30,"1,040",A
1984-07-01,"1,030",A
1984-07-02,878,A
1984-07-03,736,A
1984-07-04,662,A
1984-07-05,600,A
1984-07-06,540,A
1984-07-07,500,A
1984-07-08,465,A
1984-07-09,572,A
1984-07-10,518,A
1984-07-11,465,A
1984-07-12,414,A
1984-07-13,400,A
1984-07-14,400,A
1984-07-15,405,A
1984-07-16,360,A
1984-07-17,338,A
1984-07-18,307,A
1984-07-19,315,A
1984-07-20,346,A
1984-07-21,315,A
1984-07-22,320,A
1984-07-23,324,A
1984-07-24,303,A
1984-07-25,303,A
1984-07-26,369,A
1984-07-27,346,A
1984-07-28,342,A
1984-07-29,351,A
1984-07-30,470,A
1984-07-31,396,A
1984-08-01,328,A
1984-08-02,295,A
1984-08-03,291,A
1984-08-04,287,A
1984-08-05,291,A
1984-08-06,405,A
1984-08-07,382,A
1984-08-08,338,A
1984-08-09,330,A
1984-08-10,310,A
1984-08-11,300,A
1984-08-12,310,A
1984-08-13,310,A
1984-08-14,300,A
1984-08-15,390,A
1984-08-16,370,A
1984-08-17,350,A
1984-08-18,450,A
1984-08-19,470,A
1984-08-20,490,A
1984-08-21,490,A
1984-08-22,512,A
1984-08-23,485,A
1984-08-24,566,A
1984-08-25,560,A
1984-08-26,626,A
1984-08-27,506,A
1984-08-28,446,A
1984-08-29,405,A
1984-08-30,374,A
1984-08-31,356,A
1984-09-01,418,A
1984-09-02,432,A
1984-09-03,360,A
1984-09-04,324,A
1984-09-05,303,A
1984-09-06,287,A
1984-09-07,272,A
1984-09-08,258,A
1984-09-09,247,A
1984-09-10,244,A
1984-09-11,268,A
1984-09-12,275,A
1984-09-13,268,A
1984-09-14,261,A
1984-09-15,261,A
1984-09-16,338,A
1984-09-17,405,A
1984-09-18,287,A
1984-09-19,236,A
1984-09-20,202,A
1984-09-21,193,A
1984-09-22,222,A
1984-09-23,222,A
1984-09-24,258,A
1984-09-25,233,A
1984-09-26,216,A
1984-09-27,233,A
1984-09-28,172,A
1984-09-29,142,A
1984-09-30,128,A
1984-10-01,123,A
1984-10-02,140,A
1984-10-03,200,A
1984-10-04,300,A
1984-10-05,270,A
1984-10-06,249,A
1984-10-07,220,A
1984-10-08,196,A
1984-10-09,184,A
1984-10-10,181,A
1984-10-11,175,A
1984-10-12,215,A
1984-10-13,237,A
1984-10-14,264,A
1984-10-15,231,A
1984-10-16,240,A
1984-10-17,220,A
1984-10-18,210,A
1984-10-19,200,A
1984-10-20,190,A
1984-10-21,190,A
1984-10-22,180,A
1984-10-23,170,A
1984-10-24,170,A
1984-10-25,170,A
1984-10-26,170,A
1984-10-27,170,A
1984-10-28,180,A
1984-10-29,180,A
1984-10-30,180,A
1984-10-31,180,A
1984-11-01,180,A
1984-11-02,190,A
1984-11-03,190,A
1984-11-04,190,A
1984-11-05,180,A
1984-11-06,180,A
1984-11-07,170,A
1984-11-08,160,A
1984-11-09,150,A
1984-11-10,140,A
1984-11-11,130,A
1984-11-12,140,A
1984-11-13,140,A
1984-11-14,140,A
1984-11-15,130,A
1984-11-16,130,A
1984-11-17,130,A
1984-11-18,120,A
1984-11-19,120,A
1984-11-20,110,A
1984-11-21,110,A
1984-11-22,100,A
1984-11-23,100,A
1984-11-24,100,A
1984-11-25,100,A
1984-11-26,100,A
1984-11-27,90.0,A
1984-11-28,70.0,A
1984-11-29,80.0,A
1984-11-30,95.0,A
1984-12-01,90.0,A
1984-12-02,90.0,A
1984-12-03,90.0,A
1984-12-04,90.0,A
1984-12-05,95.0,A
1984-12-06,90.0,A
1984-12-07,85.0,A
1984-12-08,85.0,A
1984-12-09,90.0,A
1984-12-10,95.0,A
1984-12-11,95.0,A
1984-12-12,95.0,A
1984-12-13,95.0,A
1984-12-14,90.0,A
1984-12-15,90.0,A
1984-12-16,90.0,A
1984-12-17,85.0,A
